"report_date_as_yyyy_mm_dd","market_and_exchange_names","commodity_name","open_interest_all","prod_merc_positions_long","prod_merc_positions_short","m_money_positions_long_all","m_money_positions_short_all"
"2012-01-03T00:00:00.000","PALLADIUM - NEW YORK MERCANTILE EXCHANGE","PALLADIUM","17570","2266","10172","7737","3364"
"2012-01-03T00:00:00.000","GOLD - COMMODITY EXCHANGE INC.","GOLD","423275","86576","238940","121961","17399"
"2012-01-03T00:00:00.000","COPPER-GRADE #1 - COMMODITY EXCHANGE INC.","COPPER","120794","8225","40678","22625","24636"
"2012-01-03T00:00:00.000","SILVER - COMMODITY EXCHANGE INC.","SILVER","107101","12130","45289","19557","11207"
"2012-01-03T00:00:00.000","PLATINUM - NEW YORK MERCANTILE EXCHANGE","PLATINUM","42476","2111","17820","20677","8927"
"2012-01-03T00:00:00.000","NATURAL GAS - NEW YORK MERCANTILE EXCHANGE","NATURAL GAS","1016237","93336","131459","150855","259973"
"2012-01-10T00:00:00.000","NATURAL GAS - NEW YORK MERCANTILE EXCHANGE","NATURAL GAS","1096284","92035","127952","186379","290559"
"2012-01-10T00:00:00.000","GOLD - COMMODITY EXCHANGE INC.","GOLD","417923","88406","239346","118994","15014"
"2012-01-10T00:00:00.000","COPPER-GRADE #1 - COMMODITY EXCHANGE INC.","COPPER","126638","7468","41308","23792","26257"
"2012-01-10T00:00:00.000","SILVER - COMMODITY EXCHANGE INC.","SILVER","104345","11534","45351","19658","9026"
"2012-01-10T00:00:00.000","PLATINUM - NEW YORK MERCANTILE EXCHANGE","PLATINUM","43692","2009","18405","21149","8767"
"2012-01-10T00:00:00.000","PALLADIUM - NEW YORK MERCANTILE EXCHANGE","PALLADIUM","17756","1953","9493","7196","3835"
"2012-01-17T00:00:00.000","NATURAL GAS - NEW YORK MERCANTILE EXCHANGE","NATURAL GAS","1134701","98856","135910","189861","276760"
"2012-01-17T00:00:00.000","GOLD - COMMODITY EXCHANGE INC.","GOLD","432838","89853","255762","120582","11927"
"2012-01-17T00:00:00.000","COPPER-GRADE #1 - COMMODITY EXCHANGE INC.","COPPER","132457","6471","45033","26589","21814"
"2012-01-17T00:00:00.000","SILVER - COMMODITY EXCHANGE INC.","SILVER","103668","10943","45946","19630","7479"
"2012-01-17T00:00:00.000","PLATINUM - NEW YORK MERCANTILE EXCHANGE","PLATINUM","43849","1964","19136","22124","8131"
"2012-01-17T00:00:00.000","PALLADIUM - NEW YORK MERCANTILE EXCHANGE","PALLADIUM","17518","1208","9818","7351","3721"
"2012-01-24T00:00:00.000","PALLADIUM - NEW YORK MERCANTILE EXCHANGE","PALLADIUM","18099","941","11000","7839","2103"
"2012-01-24T00:00:00.000","GOLD - COMMODITY EXCHANGE INC.","GOLD","427032","85155","256803","127512","10356"
"2012-01-24T00:00:00.000","COPPER-GRADE #1 - COMMODITY EXCHANGE INC.","COPPER","142751","7462","47206","29021","21760"
"2012-01-24T00:00:00.000","SILVER - COMMODITY EXCHANGE INC.","SILVER","103025","10647","47328","20060","5156"
"2012-01-24T00:00:00.000","PLATINUM - NEW YORK MERCANTILE EXCHANGE","PLATINUM","44105","2018","21092","22110","7144"
"2012-01-24T00:00:00.000","NATURAL GAS - NEW YORK MERCANTILE EXCHANGE","NATURAL GAS","1152540","106383","142434","210814","292524"
"2012-01-31T00:00:00.000","PALLADIUM - NEW YORK MERCANTILE EXCHANGE","PALLADIUM","19398","875","12365","8686","1939"
"2012-01-31T00:00:00.000","GOLD - COMMODITY EXCHANGE INC.","GOLD","425133","83849","264347","149921","5973"
"2012-01-31T00:00:00.000","COPPER-GRADE #1 - COMMODITY EXCHANGE INC.","COPPER","151787","11741","53015","30968","23273"
"2012-01-31T00:00:00.000","SILVER - COMMODITY EXCHANGE INC.","SILVER","101747","10281","49723","21783","4415"
"2012-01-31T00:00:00.000","PLATINUM - NEW YORK MERCANTILE EXCHANGE","PLATINUM","45030","1956","23658","22379","5026"
"2012-01-31T00:00:00.000","NATURAL GAS - NEW YORK MERCANTILE EXCHANGE","NATURAL GAS","1203330","104184","140819","222771","299513"
"2012-02-07T00:00:00.000","PALLADIUM - NEW YORK MERCANTILE EXCHANGE","PALLADIUM","20900","964","14578","9512","1341"
"2012-02-07T00:00:00.000","GOLD - COMMODITY EXCHANGE INC.","GOLD","436061","79733","268892","161575","5966"
"2012-02-07T00:00:00.000","COPPER-GRADE #1 - COMMODITY EXCHANGE INC.","COPPER","160030","17616","61577","33747","21449"
"2012-02-07T00:00:00.000","SILVER - COMMODITY EXCHANGE INC.","SILVER","106008","9815","52919","25965","3001"
"2012-02-07T00:00:00.000","PLATINUM - NEW YORK MERCANTILE EXCHANGE","PLATINUM","44584","2197","24523","22913","3928"
"2012-02-07T00:00:00.000","NATURAL GAS - NEW YORK MERCANTILE EXCHANGE","NATURAL GAS","1256019","115928","149439","218559","290684"
"2012-02-14T00:00:00.000","PALLADIUM - NEW YORK MERCANTILE EXCHANGE","PALLADIUM","20984","724","14300","10320","1141"
"2012-02-14T00:00:00.000","GOLD - COMMODITY EXCHANGE INC.","GOLD","431164","79725","260523","156994","8005"
"2012-02-14T00:00:00.000","COPPER-GRADE #1 - COMMODITY EXCHANGE INC.","COPPER","164491","16135","61596","35559","20811"
"2012-02-14T00:00:00.000","SILVER - COMMODITY EXCHANGE INC.","SILVER","104872","9291","53801","26515","2748"
"2012-02-14T00:00:00.000","PLATINUM - NEW YORK MERCANTILE EXCHANGE","PLATINUM","44020","2224","25578","22807","2150"
"2012-02-14T00:00:00.000","NATURAL GAS - NEW YORK MERCANTILE EXCHANGE","NATURAL GAS","1262254","133101","160377","221831","284145"
"2012-02-21T00:00:00.000","PALLADIUM - NEW YORK MERCANTILE EXCHANGE","PALLADIUM","20904","648","14886","10529","1014"
"2012-02-21T00:00:00.000","GOLD - COMMODITY EXCHANGE INC.","GOLD","456676","79452","272935","169144","8850"
"2012-02-21T00:00:00.000","COPPER-GRADE #1 - COMMODITY EXCHANGE INC.","COPPER","162525","13538","57443","35154","21894"
"2012-02-21T00:00:00.000","SILVER - COMMODITY EXCHANGE INC.","SILVER","110583","9723","55620","28915","3053"
"2012-02-21T00:00:00.000","PLATINUM - NEW YORK MERCANTILE EXCHANGE","PLATINUM","44580","2031","25514","23009","1862"
"2012-02-21T00:00:00.000","NATURAL GAS - NEW YORK MERCANTILE EXCHANGE","NATURAL GAS","1252913","129636","154569","214742","285574"
"2012-02-28T00:00:00.000","SILVER - COMMODITY EXCHANGE INC.","SILVER","115866","12128","61557","32308","2609"
"2012-02-28T00:00:00.000","GOLD - COMMODITY EXCHANGE INC.","GOLD","479044","78899","280680","184843","7700"
"2012-02-28T00:00:00.000","COPPER-GRADE #1 - COMMODITY EXCHANGE INC.","COPPER","153312","10607","57136","36758","21216"
"2012-02-28T00:00:00.000","PLATINUM - NEW YORK MERCANTILE EXCHANGE","PLATINUM","45337","2194","26798","22254","1502"
"2012-02-28T00:00:00.000","PALLADIUM - NEW YORK MERCANTILE EXCHANGE","PALLADIUM","21864","646","15588","11469","1433"
"2012-02-28T00:00:00.000","NATURAL GAS - NEW YORK MERCANTILE EXCHANGE","NATURAL GAS","1204381","131609","155960","205842","287578"
"2012-03-06T00:00:00.000","NATURAL GAS - NEW YORK MERCANTILE EXCHANGE","NATURAL GAS","1216428","129427","153755","210371","297955"
"2012-03-06T00:00:00.000","GOLD - COMMODITY EXCHANGE INC.","GOLD","443249","81877","250981","153286","11445"
"2012-03-06T00:00:00.000","COPPER-GRADE #1 - COMMODITY EXCHANGE INC.","COPPER","152741","10520","55734","36249","22704"
"2012-03-06T00:00:00.000","SILVER - COMMODITY EXCHANGE INC.","SILVER","111023","11485","56824","25586","3963"
"2012-03-06T00:00:00.000","PLATINUM - NEW YORK MERCANTILE EXCHANGE","PLATINUM","42850","2214","24745","21772","1311"
"2012-03-06T00:00:00.000","PALLADIUM - NEW YORK MERCANTILE EXCHANGE","PALLADIUM","20262","411","13739","10118","1420"
"2012-03-13T00:00:00.000","PALLADIUM - NEW YORK MERCANTILE EXCHANGE","PALLADIUM","21155","368","14595","11442","1426"
"2012-03-13T00:00:00.000","GOLD - COMMODITY EXCHANGE INC.","GOLD","442319","81152","247753","146286","12668"
"2012-03-13T00:00:00.000","COPPER-GRADE #1 - COMMODITY EXCHANGE INC.","COPPER","150968","8615","54440","36765","22582"
"2012-03-13T00:00:00.000","SILVER - COMMODITY EXCHANGE INC.","SILVER","111730","10954","55631","23141","2811"
"2012-03-13T00:00:00.000","PLATINUM - NEW YORK MERCANTILE EXCHANGE","PLATINUM","43268","2287","25333","21369","1609"
"2012-03-13T00:00:00.000","NATURAL GAS - NEW YORK MERCANTILE EXCHANGE","NATURAL GAS","1231889","117974","140850","202755","304892"
"2012-03-20T00:00:00.000","PALLADIUM - NEW YORK MERCANTILE EXCHANGE","PALLADIUM","21656","358","14940","11306","1767"
"2012-03-20T00:00:00.000","GOLD - COMMODITY EXCHANGE INC.","GOLD","431039","85230","236802","129938","16840"
"2012-03-20T00:00:00.000","COPPER-GRADE #1 - COMMODITY EXCHANGE INC.","COPPER","154394","8424","53979","41482","24422"
"2012-03-20T00:00:00.000","SILVER - COMMODITY EXCHANGE INC.","SILVER","111422","12167","54318","22280","3927"
"2012-03-20T00:00:00.000","PLATINUM - NEW YORK MERCANTILE EXCHANGE","PLATINUM","43502","2946","25979","21142","1854"
"2012-03-20T00:00:00.000","NATURAL GAS - NEW YORK MERCANTILE EXCHANGE","NATURAL GAS","1238679","122386","142229","210059","308028"
"2012-03-27T00:00:00.000","PALLADIUM - NEW YORK MERCANTILE EXCHANGE","PALLADIUM","20439","366","13068","8848","1944"
"2012-03-27T00:00:00.000","GOLD - COMMODITY EXCHANGE INC.","GOLD","417304","76535","235618","136546","12463"
"2012-03-27T00:00:00.000","COPPER-GRADE #1 - COMMODITY EXCHANGE INC.","COPPER","152037","7328","51274","37884","23001"
"2012-03-27T00:00:00.000","SILVER - COMMODITY EXCHANGE INC.","SILVER","109859","12929","53608","21168","5618"
"2012-03-27T00:00:00.000","PLATINUM - NEW YORK MERCANTILE EXCHANGE","PLATINUM","41855","2589","24690","18961","2668"
"2012-03-27T00:00:00.000","NATURAL GAS - NEW YORK MERCANTILE EXCHANGE","NATURAL GAS","1231442","131252","135487","208128","321305"
"2012-04-03T00:00:00.000","PALLADIUM - NEW YORK MERCANTILE EXCHANGE","PALLADIUM","21003","844","12758","8373","2551"
"2012-04-03T00:00:00.000","GOLD - COMMODITY EXCHANGE INC.","GOLD","407761","79367","229690","126887","13847"
"2012-04-03T00:00:00.000","COPPER-GRADE #1 - COMMODITY EXCHANGE INC.","COPPER","156569","6452","50612","40451","21809"
"2012-04-03T00:00:00.000","SILVER - COMMODITY EXCHANGE INC.","SILVER","116434","13420","54396","22991","5678"
"2012-04-03T00:00:00.000","PLATINUM - NEW YORK MERCANTILE EXCHANGE","PLATINUM","40490","2311","24276","19083","1875"
"2012-04-03T00:00:00.000","NATURAL GAS - NEW YORK MERCANTILE EXCHANGE","NATURAL GAS","1234227","127105","136691","214679","309367"
"2012-04-10T00:00:00.000","NATURAL GAS - NEW YORK MERCANTILE EXCHANGE","NATURAL GAS","1252198","126668","134447","211988","313626"
"2012-04-10T00:00:00.000","GOLD - COMMODITY EXCHANGE INC.","GOLD","403989","78673","221202","119710","15480"
"2012-04-10T00:00:00.000","COPPER-GRADE #1 - COMMODITY EXCHANGE INC.","COPPER","148468","6565","43624","31944","28989"
"2012-04-10T00:00:00.000","SILVER - COMMODITY EXCHANGE INC.","SILVER","114469","14982","54240","20771","7129"
"2012-04-10T00:00:00.000","PLATINUM - NEW YORK MERCANTILE EXCHANGE","PLATINUM","39814","2539","22118","17637","3394"
"2012-04-10T00:00:00.000","PALLADIUM - NEW YORK MERCANTILE EXCHANGE","PALLADIUM","20821","828","11515","7969","3552"
"2012-04-17T00:00:00.000","NATURAL GAS - NEW YORK MERCANTILE EXCHANGE","NATURAL GAS","1308103","118662","122195","215293","319968"
"2012-04-17T00:00:00.000","GOLD - COMMODITY EXCHANGE INC.","GOLD","398526","75591","224882","117770","10194"
"2012-04-17T00:00:00.000","COPPER-GRADE #1 - COMMODITY EXCHANGE INC.","COPPER","159119","10666","43084","32425","30222"
"2012-04-17T00:00:00.000","SILVER - COMMODITY EXCHANGE INC.","SILVER","121448","17726","56755","18745","6621"
"2012-04-17T00:00:00.000","PLATINUM - NEW YORK MERCANTILE EXCHANGE","PLATINUM","40585","3076","20095","17810","4791"
"2012-04-17T00:00:00.000","PALLADIUM - NEW YORK MERCANTILE EXCHANGE","PALLADIUM","21466","777","11898","8478","3760"
"2012-04-24T00:00:00.000","PALLADIUM - NEW YORK MERCANTILE EXCHANGE","PALLADIUM","21513","792","12651","8838","3378"
"2012-04-24T00:00:00.000","GOLD - COMMODITY EXCHANGE INC.","GOLD","395389","78916","219917","115706","12356"
"2012-04-24T00:00:00.000","COPPER-GRADE #1 - COMMODITY EXCHANGE INC.","COPPER","159256","13626","45618","30516","28326"
"2012-04-24T00:00:00.000","SILVER - COMMODITY EXCHANGE INC.","SILVER","122325","19786","56233","19078","9364"
"2012-04-24T00:00:00.000","PLATINUM - NEW YORK MERCANTILE EXCHANGE","PLATINUM","40823","3085","18125","17108","7176"
"2012-04-24T00:00:00.000","NATURAL GAS - NEW YORK MERCANTILE EXCHANGE","NATURAL GAS","1284741","115145","115099","202336","311209"
"2012-05-01T00:00:00.000","PALLADIUM - NEW YORK MERCANTILE EXCHANGE","PALLADIUM","21576","706","12622","9421","3108"
"2012-05-01T00:00:00.000","GOLD - COMMODITY EXCHANGE INC.","GOLD","411972","79198","228645","119865","9809"
"2012-05-01T00:00:00.000","COPPER-GRADE #1 - COMMODITY EXCHANGE INC.","COPPER","144241","9521","46396","34702","19137"
"2012-05-01T00:00:00.000","SILVER - COMMODITY EXCHANGE INC.","SILVER","110862","18175","53356","18353","8793"
"2012-05-01T00:00:00.000","PLATINUM - NEW YORK MERCANTILE EXCHANGE","PLATINUM","41810","3181","19040","18697","7356"
"2012-05-01T00:00:00.000","NATURAL GAS - NEW YORK MERCANTILE EXCHANGE","NATURAL GAS","1257703","130443","129507","203266","306643"
"2012-05-08T00:00:00.000","PALLADIUM - NEW YORK MERCANTILE EXCHANGE","PALLADIUM","21816","814","11309","8212","3887"
"2012-05-08T00:00:00.000","GOLD - COMMODITY EXCHANGE INC.","GOLD","417798","82697","216394","113307","22935"
"2012-05-08T00:00:00.000","COPPER-GRADE #1 - COMMODITY EXCHANGE INC.","COPPER","144583","10987","45999","36648","21192"
"2012-05-08T00:00:00.000","SILVER - COMMODITY EXCHANGE INC.","SILVER","113549","19899","51852","18030","12127"
"2012-05-08T00:00:00.000","PLATINUM - NEW YORK MERCANTILE EXCHANGE","PLATINUM","43091","3304","18691","18830","9193"
"2012-05-08T00:00:00.000","NATURAL GAS - NEW YORK MERCANTILE EXCHANGE","NATURAL GAS","1226562","123240","126895","205335","281615"
"2012-05-15T00:00:00.000","PALLADIUM - NEW YORK MERCANTILE EXCHANGE","PALLADIUM","22652","987","9627","8349","5885"
"2012-05-15T00:00:00.000","GOLD - COMMODITY EXCHANGE INC.","GOLD","422091","81982","212571","112920","32822"
"2012-05-15T00:00:00.000","COPPER-GRADE #1 - COMMODITY EXCHANGE INC.","COPPER","147934","13943","43690","33163","28330"
"2012-05-15T00:00:00.000","SILVER - COMMODITY EXCHANGE INC.","SILVER","114208","19785","51143","18221","12518"
"2012-05-15T00:00:00.000","PLATINUM - NEW YORK MERCANTILE EXCHANGE","PLATINUM","45020","3693","18751","19190","11329"
"2012-05-15T00:00:00.000","NATURAL GAS - NEW YORK MERCANTILE EXCHANGE","NATURAL GAS","1222589","119189","125616","205597","268028"
"2012-05-22T00:00:00.000","NATURAL GAS - NEW YORK MERCANTILE EXCHANGE","NATURAL GAS","1210292","111534","119943","197269","256988"
"2012-05-22T00:00:00.000","GOLD - COMMODITY EXCHANGE INC.","GOLD","435706","93201","228881","113453","38808"
"2012-05-22T00:00:00.000","COPPER-GRADE #1 - COMMODITY EXCHANGE INC.","COPPER","150189","14287","38043","31600","34408"
"2012-05-22T00:00:00.000","PLATINUM - NEW YORK MERCANTILE EXCHANGE","PLATINUM","47012","4149","18240","19542","13713"
"2012-05-22T00:00:00.000","PALLADIUM - NEW YORK MERCANTILE EXCHANGE","PALLADIUM","24228","1744","9883","8287","6670"
"2012-05-22T00:00:00.000","SILVER - COMMODITY EXCHANGE INC.","SILVER","113647","19243","49918","18444","14325"
"2012-05-29T00:00:00.000","NATURAL GAS - NEW YORK MERCANTILE EXCHANGE","NATURAL GAS","1207028","109606","121376","188127","246701"
"2012-05-29T00:00:00.000","GOLD - COMMODITY EXCHANGE INC.","GOLD","419991","89263","217183","113383","40857"
"2012-05-29T00:00:00.000","COPPER-GRADE #1 - COMMODITY EXCHANGE INC.","COPPER","148694","15126","37575","30938","37695"
"2012-05-29T00:00:00.000","SILVER - COMMODITY EXCHANGE INC.","SILVER","113961","18428","50714","18238","14596"
"2012-05-29T00:00:00.000","PLATINUM - NEW YORK MERCANTILE EXCHANGE","PLATINUM","48449","4675","19795","20534","13909"
"2012-05-29T00:00:00.000","PALLADIUM - NEW YORK MERCANTILE EXCHANGE","PALLADIUM","24325","1813","9513","9035","6858"
"2012-06-05T00:00:00.000","NATURAL GAS - NEW YORK MERCANTILE EXCHANGE","NATURAL GAS","1206991","103037","115279","192432","255170"
"2012-06-05T00:00:00.000","GOLD - COMMODITY EXCHANGE INC.","GOLD","423941","75259","217097","124211","35621"
"2012-06-05T00:00:00.000","COPPER-GRADE #1 - COMMODITY EXCHANGE INC.","COPPER","156252","17373","33803","28758","41933"
"2012-06-05T00:00:00.000","SILVER - COMMODITY EXCHANGE INC.","SILVER","116809","16965","50407","18641","13654"
"2012-06-05T00:00:00.000","PLATINUM - NEW YORK MERCANTILE EXCHANGE","PLATINUM","49838","4411","20480","20958","14444"
"2012-06-05T00:00:00.000","PALLADIUM - NEW YORK MERCANTILE EXCHANGE","PALLADIUM","22719","1891","9897","9348","6336"
"2012-06-12T00:00:00.000","PALLADIUM - NEW YORK MERCANTILE EXCHANGE","PALLADIUM","22030","1325","9819","10084","5646"
"2012-06-12T00:00:00.000","GOLD - COMMODITY EXCHANGE INC.","GOLD","412244","75355","214547","120365","32492"
"2012-06-12T00:00:00.000","COPPER-GRADE #1 - COMMODITY EXCHANGE INC.","COPPER","152084","18136","36441","28590","41929"
"2012-06-12T00:00:00.000","SILVER - COMMODITY EXCHANGE INC.","SILVER","122080","18842","53610","18420","12678"
"2012-06-12T00:00:00.000","PLATINUM - NEW YORK MERCANTILE EXCHANGE","PLATINUM","50036","4410","21098","21909","13573"
"2012-06-12T00:00:00.000","NATURAL GAS - NEW YORK MERCANTILE EXCHANGE","NATURAL GAS","1176268","107239","120280","196924","265537"
"2012-06-19T00:00:00.000","PALLADIUM - NEW YORK MERCANTILE EXCHANGE","PALLADIUM","21017","772","9756","10171","5127"
"2012-06-19T00:00:00.000","COPPER-GRADE #1 - COMMODITY EXCHANGE INC.","COPPER","144845","14261","33345","28881","40778"
"2012-06-19T00:00:00.000","SILVER - COMMODITY EXCHANGE INC.","SILVER","122508","18760","53607","19005","12928"
"2012-06-19T00:00:00.000","GOLD - COMMODITY EXCHANGE INC.","GOLD","418492","77449","229915","121411","28260"
"2012-06-19T00:00:00.000","PLATINUM - NEW YORK MERCANTILE EXCHANGE","PLATINUM","51831","4329","22218","23082","13065"
"2012-06-19T00:00:00.000","NATURAL GAS - NEW YORK MERCANTILE EXCHANGE","NATURAL GAS","1185328","120959","134201","190120","268113"
"2012-06-26T00:00:00.000","PALLADIUM - NEW YORK MERCANTILE EXCHANGE","PALLADIUM","21646","719","9306","10023","6199"
"2012-06-26T00:00:00.000","COPPER-GRADE #1 - COMMODITY EXCHANGE INC.","COPPER","146442","16690","30895","27883","41652"
"2012-06-26T00:00:00.000","SILVER - COMMODITY EXCHANGE INC.","SILVER","126164","18899","50591","19098","16684"
"2012-06-26T00:00:00.000","GOLD - COMMODITY EXCHANGE INC.","GOLD","413618","79372","223244","110884","33389"
"2012-06-26T00:00:00.000","PLATINUM - NEW YORK MERCANTILE EXCHANGE","PLATINUM","50349","3501","20337","23611","13380"
"2012-06-26T00:00:00.000","NATURAL GAS - NEW YORK MERCANTILE EXCHANGE","NATURAL GAS","1145017","114056","129574","191844","244746"
"2012-07-03T00:00:00.000","PALLADIUM - NEW YORK MERCANTILE EXCHANGE","PALLADIUM","21977","1180","9106","9907","6459"
"2012-07-03T00:00:00.000","GOLD - COMMODITY EXCHANGE INC.","GOLD","425068","80343","236464","125464","29245"
"2012-07-03T00:00:00.000","COPPER-GRADE #1 - COMMODITY EXCHANGE INC.","COPPER","135682","8917","31525","31702","33456"
"2012-07-03T00:00:00.000","SILVER - COMMODITY EXCHANGE INC.","SILVER","122128","20159","53815","20116","13974"
"2012-07-03T00:00:00.000","PLATINUM - NEW YORK MERCANTILE EXCHANGE","PLATINUM","49442","3712","20693","24107","12494"
"2012-07-03T00:00:00.000","NATURAL GAS - NEW YORK MERCANTILE EXCHANGE","NATURAL GAS","1115630","104443","124110","202121","213813"
"2012-07-10T00:00:00.000","NATURAL GAS - NEW YORK MERCANTILE EXCHANGE","NATURAL GAS","1116158","106357","131096","195570","199651"
"2012-07-10T00:00:00.000","GOLD - COMMODITY EXCHANGE INC.","GOLD","429854","80672","234237","115071","34784"
"2012-07-10T00:00:00.000","COPPER-GRADE #1 - COMMODITY EXCHANGE INC.","COPPER","134099","8383","31468","31663","36477"
"2012-07-10T00:00:00.000","SILVER - COMMODITY EXCHANGE INC.","SILVER","124109","20606","52957","20010","14667"
"2012-07-10T00:00:00.000","PLATINUM - NEW YORK MERCANTILE EXCHANGE","PLATINUM","48715","3642","21070","23703","12438"
"2012-07-10T00:00:00.000","PALLADIUM - NEW YORK MERCANTILE EXCHANGE","PALLADIUM","22172","1091","8842","10189","6849"
"2012-07-17T00:00:00.000","NATURAL GAS - NEW YORK MERCANTILE EXCHANGE","NATURAL GAS","1117917","107422","134636","200607","174644"
"2012-07-17T00:00:00.000","GOLD - COMMODITY EXCHANGE INC.","GOLD","431317","79877","238078","109800","28444"
"2012-07-17T00:00:00.000","COPPER-GRADE #1 - COMMODITY EXCHANGE INC.","COPPER","138098","8573","33314","32459","34222"
"2012-07-17T00:00:00.000","SILVER - COMMODITY EXCHANGE INC.","SILVER","121819","20886","53565","20351","15893"
"2012-07-17T00:00:00.000","PLATINUM - NEW YORK MERCANTILE EXCHANGE","PLATINUM","49929","3864","21107","23546","13544"
"2012-07-17T00:00:00.000","PALLADIUM - NEW YORK MERCANTILE EXCHANGE","PALLADIUM","22056","1245","8975","9977","6629"
"2012-07-24T00:00:00.000","PALLADIUM - NEW YORK MERCANTILE EXCHANGE","PALLADIUM","23826","2361","9546","9819","7013"
"2012-07-24T00:00:00.000","GOLD - COMMODITY EXCHANGE INC.","GOLD","420296","82393","220064","92963","33154"
"2012-07-24T00:00:00.000","COPPER-GRADE #1 - COMMODITY EXCHANGE INC.","COPPER","142395","11250","35348","32010","39646"
"2012-07-24T00:00:00.000","SILVER - COMMODITY EXCHANGE INC.","SILVER","123661","19187","52772","20590","17575"
"2012-07-24T00:00:00.000","PLATINUM - NEW YORK MERCANTILE EXCHANGE","PLATINUM","51043","3682","21684","23556","14047"
"2012-07-24T00:00:00.000","NATURAL GAS - NEW YORK MERCANTILE EXCHANGE","NATURAL GAS","1123235","97603","130309","209131","169661"
"2012-07-31T00:00:00.000","PALLADIUM - NEW YORK MERCANTILE EXCHANGE","PALLADIUM","23698","2206","9992","9722","6911"
"2012-07-31T00:00:00.000","GOLD - COMMODITY EXCHANGE INC.","GOLD","403403","79471","227217","105196","24339"
"2012-07-31T00:00:00.000","COPPER-GRADE #1 - COMMODITY EXCHANGE INC.","COPPER","142774","14055","38389","30835","37499"
"2012-07-31T00:00:00.000","SILVER - COMMODITY EXCHANGE INC.","SILVER","121809","17273","53956","21526","13796"
"2012-07-31T00:00:00.000","PLATINUM - NEW YORK MERCANTILE EXCHANGE","PLATINUM","52220","3494","22547","22914","14518"
"2012-07-31T00:00:00.000","NATURAL GAS - NEW YORK MERCANTILE EXCHANGE","NATURAL GAS","1126758","88683","120855","207281","167149"
"2012-08-07T00:00:00.000","PALLADIUM - NEW YORK MERCANTILE EXCHANGE","PALLADIUM","24204","2079","9960","9952","6935"
"2012-08-07T00:00:00.000","GOLD - COMMODITY EXCHANGE INC.","GOLD","388254","77035","211868","96887","27177"
"2012-08-07T00:00:00.000","COPPER-GRADE #1 - COMMODITY EXCHANGE INC.","COPPER","145059","13030","36105","31819","40020"
"2012-08-07T00:00:00.000","SILVER - COMMODITY EXCHANGE INC.","SILVER","124276","18503","54470","22592","13527"
"2012-08-07T00:00:00.000","PLATINUM - NEW YORK MERCANTILE EXCHANGE","PLATINUM","53246","3611","23420","23125","14498"
"2012-08-07T00:00:00.000","NATURAL GAS - NEW YORK MERCANTILE EXCHANGE","NATURAL GAS","1112252","86192","120448","207019","179318"
"2012-08-14T00:00:00.000","PALLADIUM - NEW YORK MERCANTILE EXCHANGE","PALLADIUM","24007","2243","10358","9927","7130"
"2012-08-14T00:00:00.000","GOLD - COMMODITY EXCHANGE INC.","GOLD","388187","74399","206767","95478","28822"
"2012-08-14T00:00:00.000","COPPER-GRADE #1 - COMMODITY EXCHANGE INC.","COPPER","156244","20855","43861","29190","39955"
"2012-08-14T00:00:00.000","SILVER - COMMODITY EXCHANGE INC.","SILVER","128993","19168","56328","23461","12907"
"2012-08-14T00:00:00.000","PLATINUM - NEW YORK MERCANTILE EXCHANGE","PLATINUM","54074","3667","23051","22699","15667"
"2012-08-14T00:00:00.000","NATURAL GAS - NEW YORK MERCANTILE EXCHANGE","NATURAL GAS","1076707","97280","134915","201630","173456"
"2012-08-21T00:00:00.000","PALLADIUM - NEW YORK MERCANTILE EXCHANGE","PALLADIUM","24291","2513","11435","10624","5750"
"2012-08-21T00:00:00.000","GOLD - COMMODITY EXCHANGE INC.","GOLD","398747","72285","215517","111063","19478"
"2012-08-21T00:00:00.000","COPPER-GRADE #1 - COMMODITY EXCHANGE INC.","COPPER","149461","15337","42968","32237","35458"
"2012-08-21T00:00:00.000","SILVER - COMMODITY EXCHANGE INC.","SILVER","127776","16571","58895","26075","9420"
"2012-08-21T00:00:00.000","PLATINUM - NEW YORK MERCANTILE EXCHANGE","PLATINUM","54526","2972","25402","26676","11709"
"2012-08-21T00:00:00.000","NATURAL GAS - NEW YORK MERCANTILE EXCHANGE","NATURAL GAS","1086018","103874","135796","199324","184801"
"2012-08-28T00:00:00.000","SILVER - COMMODITY EXCHANGE INC.","SILVER","121777","15788","60627","29366","5052"
"2012-08-28T00:00:00.000","GOLD - COMMODITY EXCHANGE INC.","GOLD","426559","73133","233502","127743","14577"
"2012-08-28T00:00:00.000","COPPER-GRADE #1 - COMMODITY EXCHANGE INC.","COPPER","145214","12915","44397","33200","29943"
"2012-08-28T00:00:00.000","PLATINUM - NEW YORK MERCANTILE EXCHANGE","PLATINUM","54458","2629","26450","28472","8713"
"2012-08-28T00:00:00.000","PALLADIUM - NEW YORK MERCANTILE EXCHANGE","PALLADIUM","21730","2340","11584","10508","3914"
"2012-08-28T00:00:00.000","NATURAL GAS - NEW YORK MERCANTILE EXCHANGE","NATURAL GAS","1080414","105457","126660","204906","222973"
"2012-09-04T00:00:00.000","NATURAL GAS - NEW YORK MERCANTILE EXCHANGE","NATURAL GAS","1101920","106035","129834","210984","231857"
"2012-09-04T00:00:00.000","GOLD - COMMODITY EXCHANGE INC.","GOLD","444489","71947","250540","136347","13420"
